District,Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
17,2017 Q1,528,475,1003,52.64207378
17,2017 Q2,529,460,989,53.48837209
17,2017 Q3,519,434,953,54.45960126
17,2017 Q4,553,470,1023,54.05669599
17,2018 Q1,529,471,1000,52.9
17,2018 Q2,597,520,1117,53.44673232
17,2018 Q3,541,486,1027,52.67770204
17,2018 Q4,567,461,1028,55.15564202
17,2019 Q1,562,494,1056,53.21969697
17,2019 Q2,594,488,1082,54.89833641
17,2019 Q3,551,428,979,56.28192033
17,2019 Q4,553,467,1020,54.21568627
17,2020 Q1,499,399,898,55.56792873
17,2020 Q2,190,202,392,48.46938776
17,2020 Q3,330,304,634,52.05047319
17,2020 Q4,348,311,659,52.80728376
17,2021 Q1,343,347,690,49.71014493
17,2021 Q2,392,344,736,53.26086957
17,2021 Q3,446,359,805,55.40372671
17,2021 Q4,426,391,817,52.14198286
17,2022 Q1,427,379,806,52.97766749
17,2022 Q2,418,455,873,47.88087056
17,2022 Q3,362,394,756,47.88359788
17,2022 Q4,324,427,751,43.1424767
17,2023 Q1,387,476,863,44.84356895
17,2023 Q2,392,498,890,44.04494382
17,2023 Q3,344,437,781,44.04609475
17,2023 Q4,342,401,743,46.02960969
17,2024 Q1,357,431,788,45.30456853
17,2024 Q2,343,455,798,42.98245614
17,2024 Q3,343,456,799,42.92866083
17,2024 Q4,312,394,706,44.19263456
17,2025 Q1,334,406,740,45.13513514
17,2025 Q2,329,394,723,45.50484094
17,2025 Q3,292,404,696,41.95402299
17,2025 Q4,271,322,593,45.69983137
17,2026 Q1,313,352,665,47.06766917
17,2026 Q2,256,409,665,38.4962406
