Disposition Quarter,Charge Reduction,No Charge Reduction,Total,Percent of felony filings disposed as misdemeanors
2017 Q1,528,475,1003,52.6
2017 Q2,529,460,989,53.5
2017 Q3,519,434,953,54.5
2017 Q4,553,470,1023,54.1
2018 Q1,529,471,1000,52.9
2018 Q2,597,520,1117,53.4
2018 Q3,541,486,1027,52.7
2018 Q4,567,461,1028,55.2
2019 Q1,562,493,1055,53.3
2019 Q2,594,488,1082,54.9
2019 Q3,551,428,979,56.3
2019 Q4,553,467,1020,54.2
2020 Q1,499,399,898,55.6
2020 Q2,190,202,392,48.5
2020 Q3,330,304,634,52.1
2020 Q4,348,312,660,52.7
2021 Q1,343,347,690,49.7
2021 Q2,393,344,737,53.3
2021 Q3,447,359,806,55.5
2021 Q4,430,391,821,52.4
2022 Q1,429,379,808,53.1
2022 Q2,418,457,875,47.8
2022 Q3,363,394,757,48.0
2022 Q4,324,427,751,43.1
2023 Q1,387,477,864,44.8
2023 Q2,393,498,891,44.1
2023 Q3,344,441,785,43.8
2023 Q4,342,402,744,46.0
2024 Q1,356,431,787,45.2
2024 Q2,346,456,802,43.1
2024 Q3,344,456,800,43.0
2024 Q4,312,393,705,44.3
2025 Q1,335,406,741,45.2
2025 Q2,329,394,723,45.5
2025 Q3,292,406,698,41.8
2025 Q4,272,322,594,45.8
2026 Q1,314,347,661,47.5
2026 Q2,253,395,648,39.0
