Filing Quarter,Felonies filed per prosecutor,Felonies resolved per prosecutor
2017 Q1,26.625,24.5
2017 Q2,24.1,15.5
2017 Q3,32.7778,22.6667
2017 Q4,20.6667,15.6667
2018 Q1,20.8,21.2
2018 Q2,25.125,21.8889
2018 Q3,18.7778,17.0
2018 Q4,22.2222,9.0
2019 Q1,16.7857,10.2
2019 Q2,17.1818,25.875
2019 Q3,20.8182,15.6667
2019 Q4,16.6667,11.8333
2020 Q1,13.7273,15.3
2020 Q2,14.9,20.3333
2020 Q3,14.6667,11.0
2020 Q4,15.5,12.8333
2021 Q1,13.7778,13.0
2021 Q2,14.1333,13.5
2021 Q3,18.1111,13.5
2021 Q4,14.875,14.9167
2022 Q1,18.75,17.6
2022 Q2,18.75,16.5
2022 Q3,14.4286,20.75
2022 Q4,15.0,13.3333
2023 Q1,21.2857,12.0
2023 Q2,22.2857,9.2857
2023 Q3,29.0,18.4
2023 Q4,27.1667,14.875
2024 Q1,27.0,13.3333
2024 Q2,19.5,14.5714
2024 Q3,22.8333,18.0
2024 Q4,18.5,19.4
2025 Q1,18.6667,19.7143
2025 Q2,19.5714,18.3333
2025 Q3,21.0,20.1667
2025 Q4,17.4286,17.2857
2026 Q1,24.0,17.8571
2026 Q2,25.3333,18.8333
