District,Filing Year,Felony,Misdemeanor,Petty Offense/Infraction
17,2017,5425,13891,764
17,2018,5484,14041,774
17,2019,5670,15283,782
17,2020,4573,11931,456
17,2021,4377,13226,428
17,2022,4094,11291,464
17,2023,4352,12372,669
17,2024,4222,13346,807
17,2025,3573,20057,1015
17,2026,1670,9675,559
17,2036,0,1,0
