Metric,Felony,Misdemeanor
Filings 2025,3572.0,20065.0
Change since 2024,-15.3955,49.8842
,,
Filings Quarter 4 2025,787.0,4992.0
Change since Quarter 4 2024,-22.3866,47.1698
