Filing Year,Felony,Misdemeanor,Petty Offense/Infraction
2017,5425,13891,764
2018,5484,14041,774
2019,5670,15283,782
2020,4573,11931,456
2021,4377,13226,428
2022,4094,11292,464
2023,4352,12392,669
2024,4222,13358,807
2025,3573,20060,1015
