Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,1243,3545,214,5002,24.9
2017 Q2,1300,3409,217,4926,26.4
2017 Q3,1433,3467,166,5066,28.3
2017 Q4,1449,3470,167,5086,28.5
2018 Q1,1316,3376,155,4847,27.2
2018 Q2,1412,3472,171,5055,27.9
2018 Q3,1480,3542,228,5250,28.2
2018 Q4,1276,3651,220,5147,24.8
2019 Q1,1333,4045,212,5590,23.8
2019 Q2,1465,3739,194,5398,27.1
2019 Q3,1391,3703,194,5288,26.3
2019 Q4,1481,3796,182,5459,27.1
2020 Q1,1305,3555,132,4992,26.1
2020 Q2,1080,2259,80,3419,31.6
2020 Q3,1137,3144,109,4390,25.9
2020 Q4,1051,2973,135,4159,25.3
2021 Q1,984,3050,102,4136,23.8
2021 Q2,1100,3708,128,4936,22.3
2021 Q3,1172,3303,92,4567,25.7
2021 Q4,1121,3165,106,4392,25.5
2022 Q1,1008,2795,84,3887,25.9
2022 Q2,966,2823,122,3911,24.7
2022 Q3,1070,2936,132,4138,25.9
2022 Q4,1050,2738,126,3914,26.8
2023 Q1,1154,2970,174,4298,26.8
2023 Q2,1038,3044,159,4241,24.5
2023 Q3,1095,3245,187,4527,24.2
2023 Q4,1065,3133,149,4347,24.5
2024 Q1,1041,3206,164,4411,23.6
2024 Q2,1122,3284,194,4600,24.4
2024 Q3,1045,3476,236,4757,22.0
2024 Q4,1014,3392,213,4619,22.0
2025 Q1,948,4143,174,5265,18.0
2025 Q2,902,5594,234,6730,13.4
2025 Q3,936,5335,328,6599,14.2
2025 Q4,787,4988,279,6054,13.0
2026 Q1,834,4928,286,6048,13.8
2026 Q2,806,4593,264,5663,14.2
