Metric,Felony,Misdemeanor
Filings 2025,3573.0,20057.0
Change since 2024,-15.3719,50.2847
,,
Filings Quarter 4 2025,787.0,4985.0
Change since Quarter 4 2024,-22.3866,47.0935
