District,Filing Quarter,Number of violent cases filed per quarter
17,2017 Q1,194
17,2017 Q2,182
17,2017 Q3,203
17,2017 Q4,201
17,2018 Q1,200
17,2018 Q2,209
17,2018 Q3,217
17,2018 Q4,190
17,2019 Q1,182
17,2019 Q2,176
17,2019 Q3,233
17,2019 Q4,194
17,2020 Q1,213
17,2020 Q2,212
17,2020 Q3,228
17,2020 Q4,175
17,2021 Q1,224
17,2021 Q2,213
17,2021 Q3,219
17,2021 Q4,183
17,2022 Q1,187
17,2022 Q2,181
17,2022 Q3,209
17,2022 Q4,194
17,2023 Q1,232
17,2023 Q2,204
17,2023 Q3,247
17,2023 Q4,213
17,2024 Q1,237
17,2024 Q2,238
17,2024 Q3,223
17,2024 Q4,236
17,2025 Q1,213
17,2025 Q2,193
17,2025 Q3,216
17,2025 Q4,183
17,2026 Q1,197
17,2026 Q2,169
