District,Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
17,2017 Q1,1243,3545,214,5002,24.85005998
17,2017 Q2,1300,3409,217,4926,26.39058059
17,2017 Q3,1433,3467,166,5066,28.28661666
17,2017 Q4,1449,3470,167,5086,28.48997247
17,2018 Q1,1316,3376,155,4847,27.15081494
17,2018 Q2,1412,3472,171,5055,27.93273986
17,2018 Q3,1480,3542,228,5250,28.19047619
17,2018 Q4,1276,3651,220,5147,24.79114047
17,2019 Q1,1333,4045,212,5590,23.84615385
17,2019 Q2,1465,3739,194,5398,27.13968136
17,2019 Q3,1391,3703,194,5288,26.30484115
17,2019 Q4,1481,3796,182,5459,27.1295109
17,2020 Q1,1305,3555,132,4992,26.14182692
17,2020 Q2,1080,2259,80,3419,31.58818368
17,2020 Q3,1137,3144,109,4390,25.89977221
17,2020 Q4,1051,2973,135,4159,25.27049772
17,2021 Q1,984,3050,102,4136,23.79110251
17,2021 Q2,1100,3708,128,4936,22.28525122
17,2021 Q3,1172,3303,92,4567,25.66236041
17,2021 Q4,1121,3165,106,4392,25.52367942
17,2022 Q1,1008,2795,84,3887,25.93259583
17,2022 Q2,966,2822,122,3910,24.70588235
17,2022 Q3,1070,2936,132,4138,25.85790237
17,2022 Q4,1050,2738,126,3914,26.82677568
17,2023 Q1,1154,2966,174,4294,26.8747089
17,2023 Q2,1038,3030,159,4227,24.556423
17,2023 Q3,1095,3243,187,4525,24.19889503
17,2023 Q4,1065,3133,149,4347,24.49965493
17,2024 Q1,1041,3205,164,4410,23.60544218
17,2024 Q2,1122,3282,194,4598,24.40191388
17,2024 Q3,1045,3470,236,4751,21.9953694
17,2024 Q4,1014,3389,213,4616,21.96707106
17,2025 Q1,948,4143,174,5265,18.00569801
17,2025 Q2,902,5594,234,6730,13.40267459
17,2025 Q3,936,5335,328,6599,14.18396727
17,2025 Q4,787,4985,279,6051,13.00611469
17,2026 Q1,834,4928,286,6048,13.78968254
17,2026 Q2,806,4593,264,5663,14.23273883
17,2026 Q3,30,152,9,191,15.70680628
17,2026 Q4,0,2,0,2,0.0
17,2036 Q1,0,1,0,1,0.0
