District,Disposition Year,Non-White Victim Cases Dismissed,Non-White Victim Cases Not Dismissed,Non-White Victim Total Cases,White Victim Cases Dismissed,White Victim Cases Not Dismissed,White Victim Cases Total,Percent of cases dismissed involving non-white victims,Percent of cases dismissed involving white victims
11,2020,203,570,773,81,266,347,26.26131953,23.34293948
11,2021,259,647,906,148,380,528,28.58719647,28.03030303
11,2022,240,666,906,181,391,572,26.49006623,31.64335664
11,2023,290,620,910,169,343,512,31.86813187,33.0078125
11,2024,295,683,978,103,264,367,30.16359918,28.0653951
11,2025,266,628,894,107,293,400,29.75391499,26.75
