Disposition Year,Conviction,No Conviction,Total
2017,14,5,19
2018,13,9,22
2019,11,9,20
2020,9,4,13
2021,11,15,26
2022,12,11,23
2023,15,14,29
2024,15,10,25
2025,10,8,18
