District,Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
11,2017,23,15,15,35,157,9.55414013,9.55414013
11,2018,27,14,19,18,147,9.52380952,12.92517007
11,2019,20,22,15,14,139,15.82733813,10.79136691
11,2020,19,26,25,20,179,14.52513966,13.96648045
11,2021,26,30,26,21,214,14.01869159,12.14953271
11,2022,29,26,16,13,164,15.85365854,9.75609756
11,2023,24,23,13,15,157,14.64968153,8.28025478
11,2024,24,22,22,29,189,11.64021164,11.64021164
11,2025,29,16,12,14,141,11.34751773,8.5106383
11,2026,12,11,7,6,65,16.92307692,10.76923077
