Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
2017 Q1,0,3,4,12,37,8.1,10.8
2017 Q2,10,4,2,4,32,12.5,6.2
2017 Q3,6,3,3,14,48,6.2,6.2
2017 Q4,7,5,6,5,40,12.5,15.0
2018 Q1,9,4,3,2,35,11.4,8.6
2018 Q2,2,4,8,7,42,9.5,19.0
2018 Q3,7,5,4,5,40,12.5,10.0
2018 Q4,9,1,4,4,30,3.3,13.3
2019 Q1,3,8,2,0,28,28.6,7.1
2019 Q2,7,5,4,5,38,13.2,10.5
2019 Q3,7,5,2,3,37,13.5,5.4
2019 Q4,3,4,7,6,36,11.1,19.4
2020 Q1,2,7,7,7,46,15.2,15.2
2020 Q2,9,4,9,2,47,8.5,19.1
2020 Q3,6,7,5,5,47,14.9,10.6
2020 Q4,2,8,4,6,39,20.5,10.3
2021 Q1,4,9,8,8,54,16.7,14.8
2021 Q2,1,11,3,5,54,20.4,5.6
2021 Q3,8,6,11,3,59,10.2,18.6
2021 Q4,13,4,4,5,47,8.5,8.5
2022 Q1,10,7,4,4,49,14.3,8.2
2022 Q2,7,3,3,1,31,9.7,9.7
2022 Q3,10,4,3,6,42,9.5,7.1
2022 Q4,2,12,6,2,42,28.6,14.3
2023 Q1,5,1,1,4,38,2.6,2.6
2023 Q2,6,4,3,3,33,12.1,9.1
2023 Q3,6,6,5,6,47,12.8,10.6
2023 Q4,7,12,4,2,39,30.8,10.3
2024 Q1,2,2,5,2,33,6.1,15.2
2024 Q2,7,5,9,8,53,9.4,17.0
2024 Q3,8,9,6,4,47,19.1,12.8
2024 Q4,7,5,2,15,55,9.1,3.6
2025 Q1,4,5,2,3,34,14.7,5.9
2025 Q2,9,2,3,3,35,5.7,8.6
2025 Q3,9,5,4,5,39,12.8,10.3
2025 Q4,6,4,3,4,33,12.1,9.1
2026 Q1,4,6,2,3,30,20.0,6.7
2026 Q2,6,5,5,2,34,14.7,14.7
