Filing Year,White Victim,NonWhite Victim,Total,Percent involving a white victim,Percent involving a non-white victim
2020,96,118,215,44.7,54.9
2021,104,125,232,44.8,53.9
2022,78,96,177,44.1,54.2
2023,60,107,170,35.3,62.9
2024,48,149,204,23.5,73.0
2025,41,102,144,28.5,70.8
