Disposition Year,Highest Income Neighborhood Cases Dismissed,Highest Income Neighborhood Cases Not Dismissed,Highest Income Neighborhood Total Cases Disposed,Lowest Income Neighborhood Cases Dismissed,Lowest Income Neighborhood Cases Not Dismissed,Lowest Income Neighborhood Total Cases Disposed,Percent of cases in highest income zip codes dismissed,Percent of cases in lowest income zip codes dismissed
2020,3,23,26,8,40,48,11.5,16.7
2021,6,10,16,14,27,41,37.5,34.1
2022,4,16,20,17,22,39,20.0,43.6
2023,15,21,36,11,25,36,41.7,30.6
2024,6,15,21,12,32,44,28.6,27.3
2025,4,22,26,17,20,37,15.4,45.9
