District,Filing Year,White Victim,NonWhite Victim,Total,Percent involving a white victim,Percent involving a non-white victim
11,2020,96,118,215,44.65116279,54.88372093
11,2021,104,125,232,44.82758621,53.87931034
11,2022,78,96,177,44.06779661,54.23728814
11,2023,60,107,170,35.29411765,62.94117647
11,2024,48,150,205,23.41463415,73.17073171
11,2025,41,102,144,28.47222222,70.83333333
