District,Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Unknown/Missing
11,2017,417,6,0,1,0,1463,64
11,2018,451,18,3,0,2,1582,67
11,2019,317,8,8,1,2,1391,37
11,2020,680,16,9,5,3,1580,57
11,2021,763,20,52,3,0,1356,8
11,2022,716,12,21,3,0,1272,2
11,2023,565,3,6,1,2,1573,8
11,2024,397,5,4,0,2,2000,1
11,2025,436,3,23,1,2,1388,199
