Disposition Year,Highest Income Neighborhood Cases Dismissed,Highest Income Neighborhood Cases Not Dismissed,Highest Income Neighborhood Total Cases Disposed,Lowest Income Neighborhood Cases Dismissed,Lowest Income Neighborhood Cases Not Dismissed,Lowest Income Neighborhood Total Cases Disposed,Percent of cases in highest income zip codes dismissed,Percent of cases in lowest income zip codes dismissed
2020,21,49,70,25,72,97,30.0,25.8
2021,36,56,92,48,77,125,39.1,38.4
2022,37,63,100,44,82,126,37.0,34.9
2023,36,71,107,53,81,134,33.6,39.6
2024,22,36,58,40,75,115,37.9,34.8
2025,29,65,94,32,63,95,30.9,33.7
