District,Filing Year,Male,Female,Unknown/Missing
11,2017,460,514,977
11,2018,667,818,638
11,2019,573,645,546
11,2020,848,1022,480
11,2021,817,975,410
11,2022,689,831,506
11,2023,655,777,726
11,2024,567,588,1254
11,2025,606,669,777
