Filing Year,Under 18,18-25 y.o.,26-35 y.o.,36+ y.o.,Unknown/Missing
2017,162,115,204,386,1084
2018,243,176,346,743,615
2019,190,191,292,715,376
2020,304,258,451,974,363
2021,240,264,378,926,394
2022,246,230,360,886,304
2023,225,199,348,918,468
2024,254,213,380,1042,520
2025,203,185,331,966,367
