Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
2017 Q1,0,3,4,12,37,8.10810811,10.81081081
2017 Q2,10,4,2,4,32,12.5,6.25
2017 Q3,6,3,3,14,48,6.25,6.25
2017 Q4,7,5,6,5,40,12.5,15.0
2018 Q1,9,4,3,2,35,11.42857143,8.57142857
2018 Q2,2,4,8,7,42,9.52380952,19.04761905
2018 Q3,7,5,4,5,40,12.5,10.0
2018 Q4,9,1,4,4,30,3.33333333,13.33333333
2019 Q1,3,8,2,0,28,28.57142857,7.14285714
2019 Q2,7,5,4,5,38,13.15789474,10.52631579
2019 Q3,7,5,2,3,37,13.51351351,5.40540541
2019 Q4,3,4,7,6,36,11.11111111,19.44444444
2020 Q1,2,7,7,7,46,15.2173913,15.2173913
2020 Q2,9,4,9,2,47,8.5106383,19.14893617
2020 Q3,6,7,5,5,47,14.89361702,10.63829787
2020 Q4,2,8,4,6,39,20.51282051,10.25641026
2021 Q1,4,9,8,8,54,16.66666667,14.81481481
2021 Q2,1,11,3,5,54,20.37037037,5.55555556
2021 Q3,8,6,11,3,59,10.16949153,18.6440678
2021 Q4,13,4,4,5,47,8.5106383,8.5106383
2022 Q1,10,7,4,4,49,14.28571429,8.16326531
2022 Q2,7,3,3,1,31,9.67741935,9.67741935
2022 Q3,10,4,3,6,42,9.52380952,7.14285714
2022 Q4,2,12,6,2,42,28.57142857,14.28571429
2023 Q1,5,1,1,4,38,2.63157895,2.63157895
2023 Q2,6,4,3,3,33,12.12121212,9.09090909
2023 Q3,6,6,5,6,47,12.76595745,10.63829787
2023 Q4,7,12,4,2,39,30.76923077,10.25641026
2024 Q1,2,2,5,2,33,6.06060606,15.15151515
2024 Q2,7,6,9,8,54,11.11111111,16.66666667
2024 Q3,8,9,6,4,47,19.14893617,12.76595745
2024 Q4,7,5,2,15,55,9.09090909,3.63636364
2025 Q1,4,5,2,3,34,14.70588235,5.88235294
2025 Q2,9,2,3,3,35,5.71428571,8.57142857
2025 Q3,9,5,4,5,39,12.82051282,10.25641026
2025 Q4,6,4,3,4,33,12.12121212,9.09090909
2026 Q1,4,6,2,3,30,20.0,6.66666667
2026 Q2,7,5,5,2,34,14.70588235,14.70588235
