Filing Year,Male,Female,Unknown/Missing
2017,460,514,977
2018,667,818,638
2019,573,645,546
2020,849,1022,480
2021,817,975,410
2022,689,831,506
2023,655,777,726
2024,560,580,1254
2025,609,674,793
