District,Filing Quarter,Number of violent cases filed involving a child victim
11,2017 Q1,8
11,2017 Q2,4
11,2017 Q3,9
11,2017 Q4,8
11,2018 Q1,5
11,2018 Q2,2
11,2018 Q3,8
11,2018 Q4,2
11,2019 Q1,6
11,2019 Q2,6
11,2019 Q3,8
11,2019 Q4,5
11,2020 Q1,13
11,2020 Q2,13
11,2020 Q3,10
11,2020 Q4,7
11,2021 Q1,6
11,2021 Q2,12
11,2021 Q3,14
11,2021 Q4,7
11,2022 Q1,12
11,2022 Q2,10
11,2022 Q3,4
11,2022 Q4,8
11,2023 Q1,7
11,2023 Q2,6
11,2023 Q3,10
11,2023 Q4,7
11,2024 Q1,7
11,2024 Q2,12
11,2024 Q3,6
11,2024 Q4,6
11,2025 Q1,7
11,2025 Q2,7
11,2025 Q3,8
11,2025 Q4,6
11,2026 Q1,9
11,2026 Q2,8
