Disposition Year,Non-White Victim Cases Dismissed,Non-White Victim Cases Not Dismissed,Non-White Victim Total Cases,White Victim Cases Dismissed,White Victim Cases Not Dismissed,White Victim Cases Total,Percent of cases dismissed involving non-white victims,Percent of cases dismissed involving white victims
2020,203,570,773,81,266,347,26.3,23.3
2021,259,647,906,148,380,528,28.6,28.0
2022,240,666,906,181,391,572,26.5,31.6
2023,290,620,910,169,343,512,31.9,33.0
2024,295,683,978,103,264,367,30.2,28.1
2025,266,629,895,107,292,399,29.7,26.8
