Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
2017 Q1,469,263,732,35.9
2017 Q2,475,352,827,42.6
2017 Q3,505,328,833,39.4
2017 Q4,491,283,774,36.6
2018 Q1,617,328,945,34.7
2018 Q2,603,395,998,39.6
2018 Q3,628,378,1006,37.6
2018 Q4,547,363,910,39.9
2019 Q1,630,314,944,33.3
2019 Q2,591,364,955,38.1
2019 Q3,581,332,913,36.4
2019 Q4,515,373,888,42.0
2020 Q1,496,345,841,41.0
2020 Q2,223,140,363,38.6
2020 Q3,338,196,534,36.7
2020 Q4,389,216,605,35.7
2021 Q1,446,235,681,34.5
2021 Q2,417,253,670,37.8
2021 Q3,548,276,824,33.5
2021 Q4,529,261,790,33.0
2022 Q1,519,360,879,41.0
2022 Q2,532,318,850,37.4
2022 Q3,520,348,868,40.1
2022 Q4,531,332,863,38.5
2023 Q1,547,308,855,36.0
2023 Q2,526,320,846,37.8
2023 Q3,465,318,783,40.6
2023 Q4,465,270,735,36.7
2024 Q1,490,223,713,31.3
2024 Q2,435,274,709,38.6
2024 Q3,401,234,635,36.9
2024 Q4,365,218,583,37.4
2025 Q1,536,243,779,31.2
2025 Q2,588,239,827,28.9
2025 Q3,483,215,698,30.8
2025 Q4,559,247,806,30.6
