DispositionQuarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdemeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2018 Q3,23,62,85,27.1,110,401,511,21.5
2019 Q2,10,61,71,14.1,116,336,452,25.7
2020 Q4,11,35,46,23.9,39,252,291,13.4
2025 Q3,6,48,54,11.1,62,291,353,17.6
2021 Q3,11,50,61,18.0,68,301,369,18.4
2023 Q1,5,44,49,10.2,57,364,421,13.5
2017 Q3,18,69,87,20.7,65,295,360,18.1
2025 Q4,4,36,40,10.0,81,374,455,17.8
2021 Q2,15,46,61,24.6,59,266,325,18.2
2019 Q1,14,68,82,17.1,98,375,473,20.7
2022 Q2,19,59,78,24.4,66,370,436,15.1
2018 Q1,25,64,89,28.1,83,379,462,18.0
2019 Q4,14,70,84,16.7,84,343,427,19.7
2021 Q1,10,42,52,19.2,45,280,325,13.8
2019 Q3,11,50,61,18.0,99,335,434,22.8
2024 Q1,16,36,52,30.8,68,297,365,18.6
2018 Q2,19,69,88,21.6,95,374,469,20.3
2020 Q1,16,44,60,26.7,90,322,412,21.8
2023 Q4,17,49,66,25.8,62,249,311,19.9
2018 Q4,13,56,69,18.8,89,327,416,21.4
2020 Q3,4,42,46,8.7,36,217,253,14.2
2017 Q4,23,46,69,33.3,64,253,317,20.2
2024 Q3,6,42,48,12.5,73,252,325,22.5
2024 Q2,7,44,51,13.7,68,262,330,20.6
2017 Q1,15,75,90,16.7,65,239,304,21.4
2022 Q3,14,66,80,17.5,75,387,462,16.2
2025 Q1,11,42,53,20.8,75,313,388,19.3
2023 Q2,10,44,54,18.5,63,311,374,16.8
2017 Q2,14,66,80,17.5,90,304,394,22.8
2020 Q2,8,28,36,22.2,21,125,146,14.4
2023 Q3,15,48,63,23.8,66,266,332,19.9
2022 Q1,11,76,87,12.6,72,319,391,18.4
2024 Q4,9,40,49,18.4,65,239,304,21.4
2021 Q4,9,48,57,15.8,71,300,371,19.1
2025 Q2,8,51,59,13.6,81,345,426,19.0
2022 Q4,8,53,61,13.1,72,372,444,16.2
