District,Disposition Year,Fine/Comm. Serv/Fee,Credit for time served,Probation,Probation plus Jail,Jail
21,2020,469,194,823,169,173
21,2021,959,238,972,196,190
21,2022,1068,423,1186,228,185
21,2023,1221,321,954,296,205
21,2024,1183,290,941,217,148
21,2025,1414,307,1135,283,197
