Disposition Year,Highest Income Neighborhood Incarceration,Highest Income Neighborhood No Incarceration,Highest Income Neighborhood Total Cases,Lowest Income Neighborhood Incarceration,Lowest Income Neighborhood No Incarceration,Lowest Income Neighborhood Total Cases,Percent of cases from highest income zip code incarcerated,Percent of cases from lowest income zip code incarcerated
2019,110,63,173,136,63,199,63.58381503,68.34170854
2020,79,46,125,84,40,124,63.2,67.74193548
2021,70,51,121,99,53,152,57.85123967,65.13157895
2022,73,54,127,104,52,156,57.48031496,66.66666667
2023,99,45,144,89,49,138,68.75,64.49275362
2024,69,42,111,83,37,120,62.16216216,69.16666667
