Disposition Year,Black No Pretrial,Black Pretrial,Black Total Cases,Hispanic No Pretrial,Hispanic Pretrial,Hispanic Total Cases,Native American No Pretrial,Native American Pretrial,Native American Total Cases,White No Pretrial,White Pretrial,White Total Cases,Percent of Black defendants detained pretrial,Percent of Hispanic defendants detained pretrial,Percent of Native American defendants detained pretrial,Percent of White defendants detained pretrial
2019,61,48,109,287,183,470,16,8,24,1872,1121,2993,44.0,38.9,33.3,37.5
2020,66,46,112,191,157,348,6,6,12,1125,678,1803,41.1,45.1,50.0,37.6
2021,40,26,66,303,179,482,16,7,23,1526,804,2330,39.4,37.1,30.4,34.5
2022,49,37,86,297,215,512,8,11,19,1689,1080,2769,43.0,42.0,57.9,39.0
2023,67,50,117,303,196,499,6,8,14,1587,957,2544,42.7,39.3,57.1,37.6
2024,49,45,94,231,171,402,9,12,21,1369,718,2087,47.9,42.5,57.1,34.4
2025,64,34,98,317,135,452,15,8,23,1734,754,2488,34.7,29.9,34.8,30.3
