Disposition Year,Credit for time served,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
2020,0,183,38,2,101,17,271
2021,5,220,57,1,168,14,283
2022,2,291,49,2,140,14,295
2023,2,230,62,1,128,17,295
2024,3,196,55,1,124,24,219
2025,4,204,56,3,99,17,231
