Disposition Quarter,Deferred,Probation,Community Corrections,Prison
2017 Q1,56,87,27,89
2017 Q2,58,80,41,102
2017 Q3,38,86,48,88
2017 Q4,46,65,33,89
2018 Q1,47,87,47,68
2018 Q2,45,83,57,116
2018 Q3,62,81,38,123
2018 Q4,39,65,34,119
2019 Q1,32,69,33,87
2019 Q2,49,65,52,118
2019 Q3,37,59,22,110
2019 Q4,47,82,41,89
2020 Q1,47,57,42,89
2020 Q2,19,34,14,67
2020 Q3,36,46,16,60
2020 Q4,25,46,29,55
2021 Q1,38,47,29,72
2021 Q2,33,58,37,76
2021 Q3,43,59,53,70
2021 Q4,30,56,49,65
2022 Q1,39,83,37,91
2022 Q2,35,75,40,72
2022 Q3,47,74,37,70
2022 Q4,44,59,26,62
2023 Q1,41,46,33,68
2023 Q2,33,53,33,72
2023 Q3,24,64,33,75
2023 Q4,45,67,29,80
2024 Q1,42,50,32,52
2024 Q2,42,51,30,76
2024 Q3,31,46,32,38
2024 Q4,29,49,30,53
2025 Q1,34,51,19,77
2025 Q2,36,59,37,45
2025 Q3,41,54,20,50
2025 Q4,42,40,23,59
2026 Q1,37,48,25,57
2026 Q2,24,36,33,61
