Disposition Year,Black Incarceration,Black No Incarceration,Black Total,Native American Incarceration,Native American No Incarceration,Native American Total,Hispanic Incarceration,Hispanic No Incarceration,Hispanic Total,White Incarceration,White No Incarceration,White Total,Percent of Black defendants incarcerated,Percent of Native American defendants incarcerated,Percent of Hispanic defendants incarcerated,Percent of White defendants incarcerated
2017,26,14,40,5,1,6,101,45,146,465,294,759,65.0,83.3,69.2,61.3
2018,28,15,43,2,2,4,93,51,144,545,310,855,65.1,50.0,64.6,63.7
2019,22,13,35,9,1,10,69,49,118,494,266,760,62.9,90.0,58.5,65.0
2020,21,19,40,1,2,3,85,35,120,301,161,462,52.5,33.3,70.8,65.2
2021,12,14,26,3,0,3,87,54,141,400,186,586,46.2,100.0,61.7,68.3
2022,10,14,24,5,0,5,91,35,126,372,268,640,41.7,100.0,72.2,58.1
2023,11,9,20,7,0,7,87,51,138,377,187,564,55.0,100.0,63.0,66.8
2024,10,12,22,5,2,7,72,40,112,307,171,478,45.5,71.4,64.3,64.2
2025,14,9,23,0,3,3,65,28,93,296,180,476,60.9,0.0,69.9,62.2
