Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
2017 Q1,55,31,34,60,51,6,7,3,247,27.93522267,12.55060729,59.51417004
2017 Q2,59,38,25,52,68,4,16,5,267,22.84644195,14.23220974,62.92134831
2017 Q3,71,38,32,56,46,4,17,8,272,25.0,13.97058824,61.02941176
2017 Q4,53,46,35,67,50,7,4,5,267,29.58801498,17.22846442,53.1835206
2018 Q1,63,43,34,64,46,4,10,6,270,27.40740741,15.92592593,56.66666667
2018 Q2,82,51,40,59,60,9,13,7,321,23.36448598,15.88785047,60.74766355
2018 Q3,76,38,41,52,58,3,20,4,292,20.20547945,13.01369863,66.78082192
2018 Q4,70,33,42,54,70,4,7,7,287,22.64808362,11.49825784,65.85365854
2019 Q1,66,44,29,53,61,2,8,1,264,21.21212121,16.66666667,62.12121212
2019 Q2,90,43,60,54,58,7,12,12,336,21.72619048,12.79761905,65.47619048
2019 Q3,69,49,38,60,64,3,5,9,297,24.24242424,16.4983165,59.25925926
2019 Q4,67,28,26,52,68,10,0,6,257,26.45914397,10.89494163,62.6459144
2020 Q1,65,43,42,53,65,4,7,5,284,21.83098592,15.14084507,63.02816901
2020 Q2,20,22,18,26,38,3,6,3,136,23.52941176,16.17647059,60.29411765
2020 Q3,26,33,24,39,34,2,5,9,172,29.06976744,19.18604651,51.74418605
2020 Q4,14,36,21,41,51,1,4,5,173,27.16763006,20.80924855,52.02312139
2021 Q1,26,31,17,55,51,5,5,10,200,35.0,15.5,49.5
2021 Q2,24,30,27,54,55,8,8,6,212,32.0754717,14.1509434,53.77358491
2021 Q3,36,45,25,56,80,3,8,5,258,24.80620155,17.44186047,57.75193798
2021 Q4,27,47,28,59,60,4,9,9,243,29.62962963,19.34156379,51.02880658
2022 Q1,39,66,40,55,59,1,9,12,281,24.19928826,23.48754448,52.31316726
2022 Q2,32,44,28,47,63,4,12,4,234,23.5042735,18.8034188,57.69230769
2022 Q3,30,29,27,35,56,3,7,11,198,24.74747475,14.64646465,60.60606061
2022 Q4,35,46,32,43,38,3,6,7,210,25.23809524,21.9047619,52.85714286
2023 Q1,36,48,19,62,55,8,8,8,244,31.96721311,19.67213115,48.36065574
2023 Q2,37,65,27,59,58,11,7,5,269,27.88104089,24.16356877,47.95539033
2023 Q3,35,69,28,58,67,2,7,6,272,24.26470588,25.36764706,50.36764706
2023 Q4,39,56,17,50,46,6,9,6,229,27.07423581,24.45414847,48.47161572
2024 Q1,31,44,15,48,47,12,7,0,204,29.41176471,21.56862745,49.01960784
2024 Q2,33,54,27,52,55,10,8,5,244,27.45901639,22.13114754,50.40983607
2024 Q3,21,39,15,39,29,8,0,2,153,32.02614379,25.49019608,42.48366013
2024 Q4,23,44,15,54,27,5,4,3,175,35.42857143,25.14285714,39.42857143
2025 Q1,47,67,21,53,42,6,5,5,246,26.01626016,27.23577236,46.74796748
2025 Q2,36,57,21,49,42,6,5,4,220,26.81818182,25.90909091,47.27272727
2025 Q3,32,61,21,41,35,5,4,1,200,23.5,30.5,46.0
2025 Q4,25,46,21,59,41,5,10,4,211,32.22748815,21.80094787,45.97156398
2026 Q1,30,69,17,47,35,6,3,5,212,27.35849057,32.54716981,40.09433962
2026 Q2,39,53,20,56,38,10,7,7,230,31.73913043,23.04347826,45.2173913
