Disposition Year,Fine/Comm. Serv/Fee,Credit for time served,Probation,Probation plus Jail,Jail,Youth Corrections
2020,469,194,823,169,173,30
2021,959,238,972,196,190,12
2022,1068,423,1186,228,185,16
2023,1221,321,954,296,205,29
2024,1183,290,941,217,148,15
2025,1413,307,1137,283,197,25
