Disposition Year,Private Attorney Incarceration,Private Attorney No Incarceration,Private Attorney Total Cases,Public Defender Incarceration,Public Defender No Incarceration,Public Defender Total Cases,Percent of cases with a private attorney incarcerated,Percent of cases with a public defender incarcerated
2019,359,175,534,241,138,379,67.2,63.6
2020,276,132,408,129,75,204,67.6,63.2
2021,318,160,478,177,90,267,66.5,66.3
2022,275,153,428,202,154,356,64.3,56.7
2023,296,115,411,185,123,308,72.0,60.1
2024,165,88,253,229,116,345,65.2,66.4
2025,139,75,214,246,137,383,65.0,64.2
