District,Disposition Year,Private Attorney Incarceration,Private Attorney No Incarceration,Private Attorney Total Cases,Public Defender Incarceration,Public Defender No Incarceration,Public Defender Total Cases,Percent of cases with a private attorney incarcerated,Percent of cases with a public defender incarcerated
21,2020,266,128,394,139,79,218,67.51269036,63.76146789
21,2021,294,153,447,203,97,300,65.77181208,67.66666667
21,2022,255,141,396,222,166,388,64.39393939,57.21649485
21,2023,260,105,365,221,133,354,71.23287671,62.42937853
21,2024,147,84,231,247,120,367,63.63636364,67.30245232
21,2025,140,72,212,245,141,386,66.03773585,63.47150259
