Disposition Year,Highest Income Neighborhood Incarceration,Highest Income Neighborhood No Incarceration,Highest Income Neighborhood Total Cases,Lowest Income Neighborhood Incarceration,Lowest Income Neighborhood No Incarceration,Lowest Income Neighborhood Total Cases,Percent of cases from highest income zip code incarcerated,Percent of cases from lowest income zip code incarcerated
2019,113,63,176,135,64,199,64.2,67.8
2020,80,45,125,82,42,124,64.0,66.1
2021,72,53,125,97,52,149,57.6,65.1
2022,71,53,124,102,54,156,57.3,65.4
2023,101,48,149,86,48,134,67.8,64.2
2024,67,41,108,84,37,121,62.0,69.4
