Metric,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus Jail,Jail,Comm. Corr.,Youth Corr.,Prison
Sentences in 2025,2127.0,403.0,1373.0,339.0,208.0,99.0,42.0,231.0
Change since 2024,12.71860095,9.21409214,16.25740898,25.09225092,30.81761006,-20.8,7.69230769,4.52488688
