Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
2017 Q1,55,31,34,60,51,6,7,3,247,27.9,12.6,59.5
2017 Q2,59,38,25,52,68,4,16,5,267,22.8,14.2,62.9
2017 Q3,71,38,32,56,46,4,17,8,272,25.0,14.0,61.0
2017 Q4,53,46,35,67,50,7,4,5,267,29.6,17.2,53.2
2018 Q1,63,43,34,64,46,4,10,6,270,27.4,15.9,56.7
2018 Q2,82,51,40,59,60,9,13,7,321,23.4,15.9,60.7
2018 Q3,76,38,41,52,58,3,20,4,292,20.2,13.0,66.8
2018 Q4,70,33,42,54,70,4,7,7,287,22.6,11.5,65.9
2019 Q1,66,44,29,53,61,2,8,1,264,21.2,16.7,62.1
2019 Q2,90,43,60,54,58,7,12,12,336,21.7,12.8,65.5
2019 Q3,69,49,38,60,64,3,5,9,297,24.2,16.5,59.3
2019 Q4,67,28,26,52,68,10,0,6,257,26.5,10.9,62.6
2020 Q1,65,43,42,53,65,4,7,5,284,21.8,15.1,63.0
2020 Q2,20,22,18,26,38,3,6,3,136,23.5,16.2,60.3
2020 Q3,26,33,24,39,34,2,5,9,172,29.1,19.2,51.7
2020 Q4,14,36,21,41,51,1,4,5,173,27.2,20.8,52.0
2021 Q1,26,31,17,55,51,5,5,10,200,35.0,15.5,49.5
2021 Q2,24,30,27,54,55,8,8,6,212,32.1,14.2,53.8
2021 Q3,36,45,25,56,80,3,8,5,258,24.8,17.4,57.8
2021 Q4,27,47,28,59,60,4,9,9,243,29.6,19.3,51.0
2022 Q1,39,66,40,55,59,1,9,12,281,24.2,23.5,52.3
2022 Q2,32,44,28,47,63,4,12,4,234,23.5,18.8,57.7
2022 Q3,30,29,27,35,56,3,7,11,198,24.7,14.6,60.6
2022 Q4,35,46,32,43,38,3,6,7,210,25.2,21.9,52.9
2023 Q1,36,48,19,62,55,8,8,8,244,32.0,19.7,48.4
2023 Q2,37,65,27,59,58,11,7,5,269,27.9,24.2,48.0
2023 Q3,35,69,28,58,67,2,7,6,272,24.3,25.4,50.4
2023 Q4,39,56,17,50,46,6,9,6,229,27.1,24.5,48.5
2024 Q1,31,44,15,48,47,12,7,0,204,29.4,21.6,49.0
2024 Q2,33,54,27,52,55,10,8,5,244,27.5,22.1,50.4
2024 Q3,21,39,15,39,29,8,0,2,153,32.0,25.5,42.5
2024 Q4,23,44,15,54,27,5,4,3,175,35.4,25.1,39.4
2025 Q1,47,67,21,53,42,6,5,5,246,26.0,27.2,46.7
2025 Q2,36,57,21,49,42,6,5,4,220,26.8,25.9,47.3
2025 Q3,32,61,21,41,35,5,4,1,200,23.5,30.5,46.0
2025 Q4,25,46,21,59,41,5,10,4,211,32.2,21.8,46.0
