District,Disposition Quarter,Deferred,Probation,Community Corrections,Prison
21,2017 Q1,56,87,27,89
21,2017 Q2,58,80,41,102
21,2017 Q3,38,86,48,88
21,2017 Q4,46,65,33,89
21,2018 Q1,47,87,47,68
21,2018 Q2,45,83,57,116
21,2018 Q3,62,81,38,123
21,2018 Q4,39,65,34,119
21,2019 Q1,32,69,33,87
21,2019 Q2,49,65,52,118
21,2019 Q3,37,59,22,110
21,2019 Q4,47,82,41,89
21,2020 Q1,47,57,42,89
21,2020 Q2,19,34,14,67
21,2020 Q3,36,46,16,60
21,2020 Q4,25,46,29,55
21,2021 Q1,38,47,29,72
21,2021 Q2,33,58,37,76
21,2021 Q3,43,59,53,70
21,2021 Q4,30,56,49,65
21,2022 Q1,39,83,37,91
21,2022 Q2,35,75,40,72
21,2022 Q3,47,74,37,70
21,2022 Q4,44,59,26,62
21,2023 Q1,41,46,33,68
21,2023 Q2,33,53,33,72
21,2023 Q3,24,64,33,75
21,2023 Q4,45,67,29,80
21,2024 Q1,42,50,32,52
21,2024 Q2,42,51,30,76
21,2024 Q3,31,46,32,38
21,2024 Q4,28,49,30,53
21,2025 Q1,34,51,19,77
21,2025 Q2,36,59,37,45
21,2025 Q3,41,54,20,50
21,2025 Q4,42,40,23,59
21,2026 Q1,37,46,24,57
21,2026 Q2,20,29,25,53
21,2026 Q3,0,0,0,2
