Disposition Year,Fine/Comm. Serv/Fee,Credit for time served,Probation,Probation plus Jail,Jail
2020,207,186,2064,534,626
2021,162,208,2118,507,570
2022,189,306,2250,578,465
2023,143,415,2236,477,431
2024,169,422,2519,474,418
2025,206,347,2497,483,460
