Disposition Year,Private Attorney Incarceration,Private Attorney No Incarceration,Private Attorney Total Cases,Public Defender Incarceration,Public Defender No Incarceration,Public Defender Total Cases,Percent of cases with a private attorney incarcerated,Percent of cases with a public defender incarcerated
2020,211,97,308,368,106,474,68.5,77.6
2021,232,108,340,341,146,487,68.2,70.0
2022,232,120,352,349,118,467,65.9,74.7
2023,204,105,309,324,172,496,66.0,65.3
2024,226,102,328,321,217,538,68.9,59.7
2025,174,112,286,317,196,513,60.8,61.8
