District,Disposition Year,Credit for time served,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
19,2020,1,216,132,5,151,35,372
19,2021,0,291,167,5,159,21,310
19,2022,5,262,125,11,165,23,343
19,2023,2,284,109,1,145,25,313
19,2024,2,317,126,3,161,41,291
19,2025,1,292,90,2,162,25,271
