Disposition Year,Highest Income Neighborhood Incarceration,Highest Income Neighborhood No Incarceration,Highest Income Neighborhood Total Cases,Lowest Income Neighborhood Incarceration,Lowest Income Neighborhood No Incarceration,Lowest Income Neighborhood Total Cases,Percent of cases from highest income zip code incarcerated,Percent of cases from lowest income zip code incarcerated
2020,58,28,86,14,7,21,67.4,66.7
2021,82,39,121,17,9,26,67.8,65.4
2022,78,44,122,10,11,21,63.9,47.6
2023,78,34,112,15,7,22,69.6,68.2
2024,63,39,102,6,5,11,61.8,54.5
