DispositionQuarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdemeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2018 Q3,22,68,90,24.4,117,378,495,23.6
2019 Q2,26,62,88,29.5,128,398,526,24.3
2020 Q4,11,38,49,22.4,67,247,314,21.3
2025 Q3,14,53,67,20.9,123,379,502,24.5
2021 Q3,12,52,64,18.8,60,287,347,17.3
2023 Q1,8,46,54,14.8,90,364,454,19.8
2017 Q3,23,60,83,27.7,121,365,486,24.9
2025 Q4,10,52,62,16.1,96,373,469,20.5
2021 Q2,12,67,79,15.2,52,301,353,14.7
2019 Q1,20,50,70,28.6,92,356,448,20.5
2022 Q2,8,79,87,9.2,84,338,422,19.9
2018 Q1,18,62,80,22.5,108,392,500,21.6
2019 Q4,17,55,72,23.6,104,430,534,19.5
2021 Q1,17,57,74,23.0,80,341,421,19.0
2019 Q3,18,72,90,20.0,106,440,546,19.4
2024 Q1,9,79,88,10.2,83,415,498,16.7
2018 Q2,18,45,63,28.6,126,340,466,27.0
2020 Q1,19,52,71,26.8,93,388,481,19.3
2023 Q4,11,66,77,14.3,79,366,445,17.8
2018 Q4,28,52,80,35.0,130,345,475,27.4
2020 Q3,11,55,66,16.7,80,387,467,17.1
2017 Q4,24,41,65,36.9,114,318,432,26.4
2024 Q3,22,59,81,27.2,104,396,500,20.8
2024 Q2,13,57,70,18.6,120,454,574,20.9
2017 Q1,19,55,74,25.7,126,350,476,26.5
2022 Q3,8,46,54,14.8,68,322,390,17.4
2025 Q1,14,65,79,17.7,132,403,535,24.7
2023 Q2,9,70,79,11.4,95,365,460,20.7
2017 Q2,32,58,90,35.6,125,337,462,27.1
2020 Q2,5,28,33,15.2,39,148,187,20.9
2023 Q3,15,60,75,20.0,80,378,458,17.5
2022 Q1,15,54,69,21.7,68,365,433,15.7
2024 Q4,24,57,81,29.6,128,412,540,23.7
2025 Q2,20,68,88,22.7,111,465,576,19.3
2021 Q4,19,55,74,25.7,70,332,402,17.4
2022 Q4,12,46,58,20.7,87,333,420,20.7
