Disposition Quarter,Deferred,Probation,Community Corrections,Prison
2017 Q1,86,74,32,107
2017 Q2,93,91,32,134
2017 Q3,74,82,41,94
2017 Q4,88,65,42,126
2018 Q1,115,79,37,113
2018 Q2,86,62,31,125
2018 Q3,108,88,40,101
2018 Q4,109,80,53,143
2019 Q1,88,70,28,83
2019 Q2,110,88,37,120
2019 Q3,98,89,39,131
2019 Q4,100,72,65,113
2020 Q1,101,70,57,138
2020 Q2,46,33,28,76
2020 Q3,98,64,32,90
2020 Q4,95,49,34,68
2021 Q1,102,74,44,67
2021 Q2,64,79,43,94
2021 Q3,54,64,27,73
2021 Q4,74,74,45,76
2022 Q1,80,68,36,78
2022 Q2,81,86,52,113
2022 Q3,59,54,39,74
2022 Q4,70,54,38,78
2023 Q1,61,54,47,83
2023 Q2,78,78,33,76
2023 Q3,56,76,31,82
2023 Q4,64,76,34,72
2024 Q1,65,87,37,75
2024 Q2,73,69,44,81
2024 Q3,84,80,40,77
2024 Q4,90,81,40,58
2025 Q1,60,78,46,67
2025 Q2,66,87,34,85
2025 Q3,70,66,46,51
2025 Q4,63,61,36,68
2026 Q1,85,70,41,80
2026 Q2,55,53,4,26
