District,Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
19,2017 Q1,52,117,74,101,100,5,238,5,692,16.04046243,16.90751445,67.05202312
19,2017 Q2,76,120,77,95,104,8,182,9,671,16.69150522,17.88375559,65.4247392
19,2017 Q3,58,113,58,82,95,13,199,4,622,15.91639871,18.16720257,65.91639871
19,2017 Q4,68,133,76,93,77,7,224,5,683,15.37335286,19.47291362,65.15373353
19,2018 Q1,52,148,69,97,92,3,234,3,698,14.75644699,21.2034384,64.04011461
19,2018 Q2,63,129,83,102,96,13,237,2,725,16.13793103,17.79310345,66.06896552
19,2018 Q3,67,132,74,96,83,5,207,3,667,15.5922039,19.79010495,64.61769115
19,2018 Q4,81,141,68,98,103,5,177,11,684,16.66666667,20.61403509,62.71929825
19,2019 Q1,63,132,47,91,78,3,184,11,609,17.24137931,21.67487685,61.08374384
19,2019 Q2,77,150,73,82,98,10,237,10,737,13.83989145,20.35278155,65.807327
19,2019 Q3,80,148,70,88,107,13,196,2,704,14.63068182,21.02272727,64.34659091
19,2019 Q4,74,128,69,98,110,10,180,11,680,17.5,18.82352941,63.67647059
19,2020 Q1,86,122,77,86,109,7,160,13,660,16.06060606,18.48484848,65.45454545
19,2020 Q2,38,33,41,58,45,6,40,10,271,27.30627306,12.17712177,60.51660517
19,2020 Q3,38,120,44,84,71,4,128,8,497,19.31589537,24.14486922,56.53923541
19,2020 Q4,35,102,41,67,65,1,88,8,407,18.67321867,25.06142506,56.26535627
19,2021 Q1,27,131,58,72,82,9,90,6,475,18.31578947,27.57894737,54.10526316
19,2021 Q2,42,104,36,79,78,4,102,7,452,19.91150442,23.00884956,57.07964602
19,2021 Q3,27,92,39,59,66,9,102,5,399,18.29573935,23.05764411,58.64661654
19,2021 Q4,30,102,39,60,84,5,77,4,401,17.20698254,25.43640898,57.35660848
19,2022 Q1,20,128,40,76,85,4,78,4,435,19.31034483,29.42528736,51.26436782
19,2022 Q2,46,153,42,62,111,8,77,7,506,15.2173913,30.23715415,54.54545455
19,2022 Q3,25,125,37,46,83,5,72,6,399,14.28571429,31.3283208,54.38596491
19,2022 Q4,33,119,41,54,61,5,47,8,368,18.20652174,32.33695652,49.45652174
19,2023 Q1,35,104,50,72,65,7,39,5,377,22.28116711,27.5862069,50.13262599
19,2023 Q2,34,107,43,53,76,7,55,4,379,16.88654354,28.23218997,54.88126649
19,2023 Q3,25,101,34,73,67,4,60,2,366,21.58469945,27.59562842,50.81967213
19,2023 Q4,47,116,42,48,49,3,56,1,362,14.36464088,32.0441989,53.59116022
19,2024 Q1,34,110,35,45,74,6,57,5,366,15.30054645,30.05464481,54.64480874
19,2024 Q2,38,120,41,67,74,7,40,3,390,19.74358974,30.76923077,49.48717949
19,2024 Q3,37,111,28,65,68,6,52,5,372,20.43010753,29.83870968,49.7311828
19,2024 Q4,32,114,32,59,56,5,56,4,358,18.99441341,31.84357542,49.16201117
19,2025 Q1,30,110,34,55,60,7,74,3,373,17.42627346,29.49061662,53.08310992
19,2025 Q2,34,126,43,54,60,9,56,6,388,17.78350515,32.4742268,49.74226804
19,2025 Q3,43,102,35,61,53,5,54,4,357,19.60784314,28.57142857,51.82072829
19,2025 Q4,41,102,34,57,50,7,60,7,358,19.83240223,28.49162011,51.67597765
19,2026 Q1,45,127,37,75,50,5,61,6,406,21.18226601,31.28078818,47.53694581
19,2026 Q2,25,118,26,43,26,2,73,2,315,14.92063492,37.46031746,47.61904762
19,2026 Q3,0,0,1,1,3,0,1,0,6,16.66666667,0.0,83.33333333
19,2026 Q4,0,0,0,0,0,1,0,0,1,100.0,0.0,0.0
