Disposition Year,Black No Pretrial,Black Pretrial,Black Total Cases,Hispanic No Pretrial,Hispanic Pretrial,Hispanic Total Cases,Native American No Pretrial,Native American Pretrial,Native American Total Cases,White No Pretrial,White Pretrial,White Total Cases,Percent of Black defendants detained pretrial,Percent of Hispanic defendants detained pretrial,Percent of Native American defendants detained pretrial,Percent of White defendants detained pretrial
2019,78,60,138,1049,647,1696,6,8,14,1891,874,2765,43.5,38.1,57.1,31.6
2020,56,49,105,783,434,1217,6,4,10,1326,636,1962,46.7,35.7,40.0,32.4
2021,88,57,145,787,441,1228,8,5,13,1431,624,2055,39.3,35.9,38.5,30.4
2022,89,59,148,908,549,1457,4,7,11,1566,666,2232,39.9,37.7,63.6,29.8
2023,91,42,133,893,573,1466,8,9,17,1399,711,2110,31.6,39.1,52.9,33.7
2024,75,57,132,1009,604,1613,9,3,12,1594,696,2290,43.2,37.4,25.0,30.4
2025,92,46,138,1005,570,1575,4,2,6,1628,617,2245,33.3,36.2,33.3,27.5
