Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
2017 Q1,706,399,1105,36.10859729
2017 Q2,722,423,1145,36.94323144
2017 Q3,679,409,1088,37.59191176
2017 Q4,684,387,1071,36.13445378
2018 Q1,778,383,1161,32.98880276
2018 Q2,755,379,1134,33.42151675
2018 Q3,793,341,1134,30.07054674
2018 Q4,766,401,1167,34.36161097
2019 Q1,686,328,1014,32.34714004
2019 Q2,752,454,1206,37.64510779
2019 Q3,912,401,1313,30.54074638
2019 Q4,782,422,1204,35.04983389
2020 Q1,711,416,1127,36.91215617
2020 Q2,298,216,514,42.0233463
2020 Q3,703,274,977,28.04503582
2020 Q4,515,228,743,30.68640646
2021 Q1,684,274,958,28.60125261
2021 Q2,559,283,842,33.61045131
2021 Q3,501,263,764,34.42408377
2021 Q4,621,323,944,34.21610169
2022 Q1,684,331,1015,32.61083744
2022 Q2,735,353,1088,32.44485294
2022 Q3,602,286,888,32.20720721
2022 Q4,604,324,928,34.9137931
2023 Q1,613,340,953,35.67681007
2023 Q2,639,338,977,34.59570113
2023 Q3,588,352,940,37.44680851
2023 Q4,611,320,931,34.37164339
2024 Q1,672,320,992,32.25806452
2024 Q2,749,359,1108,32.40072202
2024 Q3,668,339,1007,33.66434955
2024 Q4,654,354,1008,35.11904762
2025 Q1,712,331,1043,31.73537872
2025 Q2,775,332,1107,29.99096658
2025 Q3,695,280,975,28.71794872
2025 Q4,629,306,935,32.72727273
