District,Metric,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus Jail,Jail,Comm. Corr.,Youth Corr.,Prison
19,Sentences in 2025,995.0,417.0,2962.0,574.0,469.0,162.0,70.0,271.0
19,Change since 2024,12.93984109,-13.30561331,-1.66002656,-4.49251248,8.31408776,0.62111801,-11.39240506,-6.87285223
