Disposition Year,Fine/Comm. Serv/Fee,Credit for time served,Probation,Probation plus Jail,Jail,Youth Corrections
2020,207,186,2064,534,626,37
2021,162,208,2119,506,570,23
2022,189,306,2250,578,465,18
2023,143,415,2236,477,432,28
2024,169,422,2519,477,418,38
2025,206,348,2500,485,461,44
