Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
2017 Q1,706,399,1105,36.1
2017 Q2,722,423,1145,36.9
2017 Q3,679,409,1088,37.6
2017 Q4,684,387,1071,36.1
2018 Q1,778,383,1161,33.0
2018 Q2,755,379,1134,33.4
2018 Q3,793,341,1134,30.1
2018 Q4,766,401,1167,34.4
2019 Q1,686,328,1014,32.3
2019 Q2,752,454,1206,37.6
2019 Q3,912,401,1313,30.5
2019 Q4,782,422,1204,35.0
2020 Q1,711,416,1127,36.9
2020 Q2,298,216,514,42.0
2020 Q3,703,274,977,28.0
2020 Q4,515,228,743,30.7
2021 Q1,684,274,958,28.6
2021 Q2,559,283,842,33.6
2021 Q3,501,263,764,34.4
2021 Q4,621,323,944,34.2
2022 Q1,684,331,1015,32.6
2022 Q2,735,353,1088,32.4
2022 Q3,602,286,888,32.2
2022 Q4,604,324,928,34.9
2023 Q1,613,340,953,35.7
2023 Q2,639,338,977,34.6
2023 Q3,588,352,940,37.4
2023 Q4,611,320,931,34.4
2024 Q1,673,320,993,32.2
2024 Q2,749,360,1109,32.5
2024 Q3,668,339,1007,33.7
2024 Q4,654,354,1008,35.1
2025 Q1,712,331,1043,31.7
2025 Q2,773,334,1107,30.2
2025 Q3,694,281,975,28.8
2025 Q4,630,305,935,32.6
