Disposition Year,Black Incarceration,Black No Incarceration,Black Total,Native American Incarceration,Native American No Incarceration,Native American Total,Hispanic Incarceration,Hispanic No Incarceration,Hispanic Total,White Incarceration,White No Incarceration,White Total,Percent of Black defendants incarcerated,Percent of Native American defendants incarcerated,Percent of Hispanic defendants incarcerated,Percent of White defendants incarcerated
2020,23,5,28,2,2,4,265,99,364,367,147,514,82.1,50.0,72.8,71.4
2021,33,24,57,2,1,3,231,101,332,371,182,553,57.9,66.7,69.6,67.1
2022,16,7,23,1,0,1,278,116,394,342,170,512,69.6,100.0,70.6,66.8
2023,17,11,28,0,2,2,249,134,383,299,162,461,60.7,0.0,65.0,64.9
2024,20,11,31,3,2,5,279,142,421,276,205,481,64.5,60.0,66.3,57.4
2025,19,20,39,0,0,0,214,126,340,288,181,469,48.7,,62.9,61.4
