Disposition Year,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
2019,319,219,6,169,26,447
2020,216,132,5,151,35,372
2021,291,167,5,159,21,310
2022,262,125,11,165,23,343
2023,284,109,1,145,25,313
2024,317,126,3,161,41,291
2025,292,90,2,161,25,272
