Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
2017 Q1,52,117,74,101,100,5,238,5,692,16.0,16.9,67.1
2017 Q2,76,120,77,95,104,8,182,9,671,16.7,17.9,65.4
2017 Q3,58,113,58,82,95,13,199,4,622,15.9,18.2,65.9
2017 Q4,68,133,76,93,77,7,224,5,683,15.4,19.5,65.2
2018 Q1,52,148,69,97,92,3,234,3,698,14.8,21.2,64.0
2018 Q2,63,129,83,102,96,13,237,2,725,16.1,17.8,66.1
2018 Q3,67,132,74,96,83,5,207,3,667,15.6,19.8,64.6
2018 Q4,81,141,68,98,103,5,177,11,684,16.7,20.6,62.7
2019 Q1,63,132,47,91,78,3,184,11,609,17.2,21.7,61.1
2019 Q2,77,150,73,82,98,10,237,10,737,13.8,20.4,65.8
2019 Q3,80,148,70,88,107,13,196,2,704,14.6,21.0,64.3
2019 Q4,74,128,69,98,110,10,180,11,680,17.5,18.8,63.7
2020 Q1,86,122,77,86,109,7,160,13,660,16.1,18.5,65.5
2020 Q2,38,33,41,58,45,6,40,10,271,27.3,12.2,60.5
2020 Q3,38,120,44,84,71,4,128,8,497,19.3,24.1,56.5
2020 Q4,35,102,41,67,65,1,88,8,407,18.7,25.1,56.3
2021 Q1,27,131,58,72,82,9,90,6,475,18.3,27.6,54.1
2021 Q2,42,104,36,78,78,4,102,7,451,19.7,23.1,57.2
2021 Q3,27,92,39,59,66,9,102,5,399,18.3,23.1,58.6
2021 Q4,30,102,39,60,84,5,77,4,401,17.2,25.4,57.4
2022 Q1,20,128,40,76,85,4,78,4,435,19.3,29.4,51.3
2022 Q2,46,153,42,62,111,8,77,7,506,15.2,30.2,54.5
2022 Q3,25,125,37,46,83,5,72,6,399,14.3,31.3,54.4
2022 Q4,33,119,41,54,61,5,47,8,368,18.2,32.3,49.5
2023 Q1,35,104,50,72,65,7,39,5,377,22.3,27.6,50.1
2023 Q2,34,107,43,53,76,7,55,4,379,16.9,28.2,54.9
2023 Q3,25,101,34,73,67,4,60,2,366,21.6,27.6,50.8
2023 Q4,47,116,42,48,49,3,56,1,362,14.4,32.0,53.6
2024 Q1,34,110,35,45,74,6,57,5,366,15.3,30.1,54.6
2024 Q2,38,120,41,67,75,7,40,4,392,19.9,30.6,49.5
2024 Q3,37,111,28,65,68,6,52,5,372,20.4,29.8,49.7
2024 Q4,32,114,32,59,56,5,56,4,358,19.0,31.8,49.2
2025 Q1,30,110,34,55,60,7,74,3,373,17.4,29.5,53.1
2025 Q2,34,126,43,54,61,9,56,6,389,17.7,32.4,49.9
2025 Q3,44,102,35,61,53,5,54,4,358,19.6,28.5,52.0
2025 Q4,41,102,34,57,50,7,60,6,357,19.6,28.6,51.8
